order_id,customer_id,store_id,order_date,payment_method,order_status,shipping_cost
73,347,20,2024-04-05,Net Banking,Processing,187.95
74,966,6,2025-03-17,Net Banking,Processing,72.99
75,340,7,2024-04-13,Credit Card,Delivered,156.36
76,272,10,2025-07-07,Debit Card,Delivered,50.42
77,563,16,2025-08-08,Credit Card,Delivered,40.8
78,302,20,2024-03-30,Cash,Delivered,45.4
79,654,10,2024-06-23,UPI,Delivered,64.26
80,483,16,2025-02-11,Debit Card,Delivered,154.27
81,380,13,2024-07-08,Debit Card,Delivered,49.37
82,477,9,2025-03-26,Credit Card,Processing,158.49
83,771,4,2024-06-03,UPI,Delivered,209.72
84,995,19,2025-02-27,Credit Card,Delivered,216.57
85,429,18,2025-06-19,Cash,Delivered,89.48
86,81,13,2024-11-02,UPI,Delivered,229.1
87,694,20,2025-08-08,Credit Card,Delivered,199.01
88,972,6,2024-06-26,Credit Card,Processing,66.5
89,81,14,2025-03-09,Credit Card,Returned,171.72
90,265,11,2025-09-01,UPI,Delivered,156.84
91,334,9,2025-07-19,Net Banking,Delivered,223.43
92,639,19,2025-12-18,Net Banking,Shipped,63.63
93,152,19,2024-06-02,Net Banking,Delivered,242.61
94,948,4,2024-04-12,Net Banking,Shipped,205.01
95,902,12,2025-07-02,Cash,Delivered,177.51
96,624,16,2025-08-08,UPI,Delivered,124.62
97,624,13,2025-09-25,UPI,Delivered,224.58
98,244,2,2025-12-08,Cash,Cancelled,228.38
99,346,10,2024-01-21,Debit Card,Delivered,143.24
100,702,4,2025-12-13,Credit Card,Delivered,244.59
101,793,11,2025-03-29,Debit Card,Shipped,167.05
102,193,15,2024-04-01,Credit Card,Cancelled,125.51
103,778,17,2025-05-11,Debit Card,Processing,148.21
104,68,10,2024-06-11,Net Banking,Delivered,203.91
105,901,19,2025-06-20,UPI,Delivered,223.79
106,858,2,2024-07-24,Credit Card,Delivered,50.62
107,722,7,2025-01-04,Debit Card,Delivered,137.49
108,651,4,2025-02-10,UPI,Delivered,142.65
109,182,16,2025-04-01,Net Banking,Delivered,112.29
110,767,3,2024-09-21,Debit Card,Delivered,50.43
111,799,7,2025-08-08,Credit Card,Delivered,182.32
112,668,14,2024-10-02,Net Banking,Delivered,203.86
113,10,16,2025-11-29,Credit Card,Delivered,166.24
114,230,9,2024-01-09,Net Banking,Processing,104.15
115,659,9,2025-12-27,Cash,Processing,218.83
116,259,7,2025-04-15,Cash,Delivered,149.33
117,407,19,2025-09-30,UPI,Delivered,249.88
118,575,20,2025-01-18,Net Banking,Delivered,183.73
119,66,11,2025-05-08,Debit Card,Delivered,220.91
120,672,10,2024-09-24,Credit Card,Delivered,200.75
121,825,20,2024-02-28,Cash,Delivered,182.96
122,672,16,2024-01-27,Debit Card,Delivered,127.9
123,755,2,2025-02-01,Net Banking,Shipped,160.13
124,352,8,2024-07-13,Net Banking,Delivered,139.9
125,368,17,2025-11-18,Debit Card,Processing,216.53
126,186,10,2025-07-25,UPI,Delivered,195.59
127,782,6,2025-07-26,Debit Card,Delivered,86.67
128,763,10,2024-08-16,Cash,Shipped,109.58
129,600,10,2024-09-23,Cash,Processing,138.81
130,598,19,2025-10-11,Net Banking,Delivered,226.78
131,123,13,2025-05-27,Net Banking,Delivered,51.35
132,141,7,2024-06-03,Debit Card,Delivered,159.57
133,147,11,2025-04-13,Credit Card,Shipped,142.39
134,182,11,2025-10-08,UPI,Delivered,97.44
135,591,6,2024-06-21,Cash,Shipped,203.75
136,630,14,2024-05-12,Cash,Delivered,242.72
137,5,2,2025-01-27,Net Banking,Delivered,118.35
138,914,11,2024-01-15,Net Banking,Delivered,182.12
139,752,8,2025-10-03,Credit Card,Delivered,112.31
140,106,13,2024-05-12,Net Banking,Delivered,75.07
141,306,10,2024-02-16,Cash,Shipped,165.24
142,445,5,2024-12-11,Debit Card,Returned,142.94
143,169,13,2024-07-11,UPI,Delivered,192.71
144,217,1,2024-05-14,Net Banking,Delivered,65.86
145,667,2,2025-12-29,Cash,Processing,93.72
146,639,2,2025-07-01,Net Banking,Returned,179.01
147,857,1,2025-10-31,UPI,Delivered,127.52
148,127,18,2025-01-24,Debit Card,Delivered,72.16
149,703,1,2025-12-12,Debit Card,Delivered,61.21
150,277,20,2025-06-16,Net Banking,Shipped,127.95
151,524,20,2024-04-17,UPI,Delivered,204.8
152,204,20,2025-05-24,Credit Card,Shipped,214.61
153,367,14,2024-07-25,Debit Card,Delivered,155.11
154,705,16,2024-07-31,Debit Card,Delivered,42.68
155,929,4,2024-04-01,Net Banking,Delivered,71.32
156,799,17,2024-04-02,UPI,Shipped,61.27
157,660,8,2024-09-19,Cash,Returned,102.16
158,52,4,2025-04-20,Credit Card,Processing,218.97
159,821,11,2025-01-03,Cash,Shipped,59.95
160,10,5,2024-02-16,Credit Card,Delivered,227.85
161,275,3,2025-09-28,Debit Card,Processing,78.4
162,410,15,2025-02-14,Debit Card,Processing,184.88
163,820,14,2025-05-04,Credit Card,Delivered,186.2
164,966,6,2024-03-01,UPI,Delivered,164.06
165,695,15,2025-08-05,Credit Card,Delivered,203.62
166,30,5,2025-09-18,Cash,Cancelled,63.72
167,452,2,2025-02-25,UPI,Delivered,105.99
168,890,17,2025-12-22,Net Banking,Shipped,87.04
169,895,11,2025-11-16,Net Banking,Delivered,187.12
170,444,8,2024-04-07,Cash,Delivered,182.02
171,153,18,2025-01-29,Net Banking,Delivered,175.11
172,518,16,2024-06-09,Cash,Processing,55.72
173,329,8,2025-05-18,Debit Card,Returned,50.57
174,564,13,2024-08-16,Cash,Processing,56.55
175,821,19,2025-03-30,Cash,Delivered,144.68
176,122,16,2024-11-19,UPI,Delivered,126.59
177,563,1,2025-07-24,UPI,Shipped,242.27
178,312,17,2025-10-14,Net Banking,Delivered,181.01
179,373,2,2024-12-15,Credit Card,Processing,109.71
180,615,16,2025-09-26,Debit Card,Shipped,63.94
181,228,1,2025-11-05,Debit Card,Delivered,173.07
182,561,17,2024-10-25,Debit Card,Shipped,49.61
183,505,5,2024-06-17,Cash,Delivered,168.28
184,124,13,2024-07-11,Credit Card,Delivered,204.1
185,111,14,2024-12-12,UPI,Cancelled,215.87
186,127,15,2025-08-25,Cash,Delivered,240.8
187,987,16,2024-05-17,UPI,Delivered,50.2
188,859,19,2025-03-19,Cash,Cancelled,204.03
189,709,19,2024-06-30,Credit Card,Shipped,66.96
190,674,20,2025-01-31,Net Banking,Processing,145.86
191,429,20,2025-01-28,Credit Card,Delivered,242.35
192,464,5,2024-10-28,Credit Card,Delivered,187.0
193,307,18,2025-06-08,Debit Card,Shipped,236.46
194,223,7,2025-10-09,Credit Card,Delivered,101.02
195,944,5,2024-12-19,Credit Card,Delivered,185.81
196,728,4,2024-11-26,Debit Card,Delivered,162.39
197,728,14,2025-11-14,Net Banking,Delivered,217.93
198,536,4,2024-01-14,UPI,Delivered,51.14
199,205,9,2024-02-27,Credit Card,Returned,183.51
200,860,2,2024-05-29,Debit Card,Delivered,153.65
201,834,15,2025-01-02,UPI,Delivered,181.86
202,886,8,2025-07-29,Net Banking,Delivered,147.29
203,295,2,2025-12-13,Cash,Delivered,240.91
204,321,18,2025-12-02,UPI,Delivered,92.78
205,890,15,2025-09-27,Credit Card,Cancelled,187.97
206,377,19,2025-10-25,Net Banking,Shipped,81.26
207,302,15,2024-07-17,Credit Card,Returned,55.64
208,753,17,2024-06-26,UPI,Delivered,129.99
209,271,5,2025-07-23,Credit Card,Delivered,93.55
210,478,5,2024-12-04,UPI,Delivered,107.75
211,793,20,2024-02-22,Debit Card,Delivered,160.26
212,75,11,2025-01-01,Net Banking,Delivered,78.61
213,806,17,2024-03-10,Credit Card,Delivered,152.78
214,358,8,2024-04-04,Credit Card,Delivered,109.52
215,224,20,2024-10-27,Net Banking,Delivered,157.88
216,10,4,2025-10-26,Debit Card,Delivered,229.94
217,941,20,2025-09-20,Credit Card,Returned,183.34
218,391,4,2024-11-24,Cash,Delivered,192.03
219,934,17,2024-01-26,Debit Card,Delivered,146.83
220,45,10,2025-05-13,Credit Card,Delivered,57.29
221,172,18,2024-04-08,Net Banking,Delivered,53.75
222,645,7,2025-11-17,Cash,Processing,83.17
223,900,14,2025-12-20,UPI,Shipped,72.29
224,735,11,2025-04-15,UPI,Delivered,51.4
225,572,3,2024-09-14,Net Banking,Processing,231.31
226,398,15,2025-02-21,Cash,Delivered,43.55
227,122,18,2025-11-20,UPI,Delivered,169.85
228,47,3,2025-08-22,Debit Card,Cancelled,62.29
229,309,20,2025-12-03,UPI,Delivered,234.61
230,405,1,2025-01-25,Cash,Delivered,86.17
231,816,18,2025-02-04,Debit Card,Returned,70.26
232,909,12,2025-11-24,UPI,Delivered,156.56
233,43,1,2024-05-06,Net Banking,Delivered,152.8
234,313,7,2024-03-28,Debit Card,Delivered,230.18
235,146,6,2025-06-08,Credit Card,Delivered,215.3
236,118,6,2024-07-17,Net Banking,Processing,218.79
237,473,18,2025-07-16,UPI,Delivered,54.15
238,203,19,2024-04-10,Cash,Returned,115.0
239,672,8,2025-11-18,UPI,Delivered,54.66
240,326,16,2024-07-17,Cash,Delivered,178.48
241,599,5,2025-12-11,Net Banking,Delivered,209.62
242,173,1,2025-03-14,Debit Card,Delivered,86.52
243,447,9,2025-10-18,Debit Card,Delivered,193.92
244,474,15,2025-05-06,Debit Card,Shipped,142.26
245,180,20,2024-04-21,UPI,Processing,220.33
246,913,18,2024-05-23,Credit Card,Delivered,226.13
247,745,3,2024-03-19,UPI,Processing,172.64
248,593,13,2025-08-18,Net Banking,Delivered,47.7
249,557,18,2024-09-23,Cash,Delivered,71.21
250,229,19,2025-02-05,Debit Card,Delivered,145.24
251,407,12,2024-04-02,Net Banking,Delivered,90.16
252,701,6,2025-09-20,Net Banking,Delivered,73.44
253,972,19,2025-08-02,Credit Card,Shipped,141.54
254,42,8,2025-01-02,Cash,Delivered,95.51
255,44,7,2024-08-27,Net Banking,Cancelled,115.86
256,940,15,2025-04-25,UPI,Delivered,176.19
257,721,17,2024-04-15,Debit Card,Processing,95.3
258,584,6,2025-07-11,Cash,Delivered,116.71
259,920,3,2025-10-31,Net Banking,Delivered,244.26
260,529,13,2024-08-16,Debit Card,Processing,112.46
261,909,20,2025-05-08,UPI,Delivered,69.18
262,236,3,2024-06-18,Net Banking,Delivered,84.42
263,162,12,2024-07-10,Net Banking,Shipped,64.85
264,425,11,2024-08-23,UPI,Delivered,140.55
265,605,6,2024-08-03,Cash,Delivered,49.06
266,607,6,2025-08-10,Credit Card,Delivered,48.23
267,151,2,2025-08-09,Credit Card,Delivered,77.81
268,614,19,2025-02-19,UPI,Processing,192.87
269,970,3,2024-10-17,Credit Card,Delivered,248.48
270,175,8,2025-05-08,Cash,Delivered,206.87
271,639,17,2024-07-05,Debit Card,Delivered,183.97
272,611,19,2025-04-09,UPI,Delivered,120.95
273,17,7,2024-04-21,Net Banking,Processing,145.92
274,847,5,2025-03-05,Net Banking,Delivered,139.93
275,615,2,2025-09-21,Net Banking,Delivered,64.68
276,676,5,2025-05-08,Net Banking,Delivered,40.25
277,665,14,2025-11-25,Net Banking,Delivered,223.71
278,543,14,2025-12-15,Credit Card,Cancelled,141.25
279,359,19,2025-01-25,Net Banking,Delivered,68.12
280,785,8,2025-05-03,UPI,Delivered,224.12
281,264,7,2025-02-22,UPI,Shipped,205.78
282,536,4,2025-08-14,Net Banking,Delivered,177.45
283,824,11,2025-12-05,Cash,Delivered,72.5
284,600,9,2025-10-29,Debit Card,Processing,128.95
285,627,9,2025-01-09,Cash,Shipped,126.78
286,495,6,2025-07-24,Debit Card,Delivered,141.59
287,592,12,2024-11-10,Cash,Shipped,219.55
288,122,8,2025-11-06,Cash,Shipped,239.34
289,220,17,2024-04-12,Cash,Shipped,208.18
290,714,2,2025-09-20,Credit Card,Delivered,173.53
291,844,5,2024-04-03,Cash,Cancelled,131.43
292,270,8,2024-03-06,Debit Card,Delivered,47.93
293,954,13,2025-01-28,Net Banking,Delivered,100.16
294,59,6,2025-09-03,Cash,Delivered,82.36
295,954,17,2025-11-03,Debit Card,Delivered,204.63
296,529,8,2025-06-06,Net Banking,Delivered,47.57
297,671,1,2024-09-01,Credit Card,Delivered,97.95
298,362,13,2025-02-13,Cash,Delivered,148.73
299,71,3,2025-12-21,Net Banking,Delivered,214.25
300,357,12,2025-08-19,Debit Card,Delivered,242.24
301,953,13,2025-04-10,Net Banking,Delivered,76.76
302,110,18,2025-06-02,UPI,Delivered,111.39
303,823,17,2024-04-29,Debit Card,Processing,210.76
304,257,15,2025-08-11,Cash,Delivered,201.69
305,985,15,2024-12-13,Cash,Processing,221.02
306,120,9,2025-05-08,UPI,Delivered,205.62
307,694,8,2024-08-13,Debit Card,Delivered,114.15
308,10,9,2025-07-02,Credit Card,Delivered,123.78
309,78,18,2024-12-16,Credit Card,Delivered,114.24
310,276,6,2025-08-10,Credit Card,Delivered,81.93
311,894,9,2024-09-04,Credit Card,Delivered,215.34
312,365,5,2025-09-25,UPI,Delivered,56.48
313,505,20,2025-11-10,UPI,Shipped,153.71
314,869,16,2024-02-13,Debit Card,Delivered,143.39
315,890,9,2025-08-11,Cash,Delivered,200.5
316,287,13,2025-06-07,Credit Card,Shipped,66.93
317,819,14,2025-06-22,Cash,Cancelled,46.84
318,404,6,2024-12-21,Cash,Returned,186.63
319,324,1,2025-04-16,UPI,Delivered,119.68
320,334,12,2024-04-13,Net Banking,Processing,79.3
321,243,9,2024-09-26,Cash,Returned,112.05
322,511,14,2024-07-07,Credit Card,Delivered,197.96
323,875,13,2025-01-08,Debit Card,Delivered,160.0
324,703,8,2025-08-12,UPI,Shipped,208.86
325,443,13,2025-07-22,Credit Card,Delivered,241.42
326,485,1,2024-06-02,Credit Card,Delivered,68.24
327,530,18,2025-10-07,Debit Card,Shipped,103.01
328,880,19,2025-07-29,UPI,Delivered,185.01
329,221,9,2024-03-02,Cash,Processing,60.22
330,267,12,2024-12-08,Debit Card,Delivered,235.69
331,353,1,2024-09-20,Cash,Delivered,222.15
332,204,19,2025-09-12,Net Banking,Delivered,153.07
333,364,11,2024-10-18,Net Banking,Delivered,194.67
334,391,20,2024-03-21,Debit Card,Delivered,240.88
335,656,11,2024-06-20,Cash,Delivered,160.04
336,82,6,2024-03-14,Debit Card,Delivered,106.54
337,728,9,2024-10-25,Net Banking,Delivered,96.96
338,800,12,2025-03-31,Net Banking,Delivered,134.56
339,189,1,2024-06-20,Credit Card,Shipped,179.02
340,768,3,2025-12-18,Credit Card,Delivered,61.63
341,960,16,2024-03-06,Net Banking,Delivered,201.9
342,784,3,2025-06-20,UPI,Delivered,72.61
343,954,13,2025-11-01,Debit Card,Delivered,194.89
344,642,5,2025-03-29,Credit Card,Delivered,75.83
345,680,12,2024-02-05,Debit Card,Processing,138.11
346,958,9,2025-07-07,Net Banking,Delivered,243.6
347,553,6,2025-12-15,Net Banking,Delivered,172.52
348,899,19,2025-10-13,Cash,Delivered,174.3
349,931,12,2024-11-13,Cash,Delivered,208.99
350,316,12,2025-03-28,Cash,Delivered,103.75
351,536,5,2024-01-01,Debit Card,Delivered,152.37
352,945,16,2025-12-05,Cash,Delivered,200.83
353,612,8,2024-10-26,UPI,Delivered,79.6
354,448,13,2025-07-28,Credit Card,Delivered,194.79
355,849,13,2025-02-03,Credit Card,Delivered,128.67
356,530,20,2024-09-02,Debit Card,Delivered,196.01
357,423,7,2024-10-02,UPI,Delivered,100.82
358,467,20,2025-10-14,Cash,Delivered,170.78
359,329,1,2024-07-11,Credit Card,Delivered,152.34
360,996,4,2024-07-09,Debit Card,Delivered,190.19
361,239,3,2024-01-09,Credit Card,Delivered,85.61
362,320,16,2025-03-06,Debit Card,Delivered,206.2
363,83,5,2024-12-04,UPI,Delivered,122.41
364,482,6,2025-07-10,Credit Card,Processing,92.52
365,849,1,2025-01-25,UPI,Returned,190.08
366,790,15,2025-01-29,Credit Card,Shipped,47.04
367,753,4,2025-04-16,Net Banking,Delivered,83.77
368,698,10,2025-02-02,Debit Card,Delivered,192.93
369,534,4,2025-07-16,Debit Card,Delivered,102.75
370,909,2,2025-01-04,Credit Card,Returned,89.55
371,333,1,2025-03-20,Credit Card,Shipped,162.79
372,809,8,2025-02-09,UPI,Returned,162.03
373,487,20,2025-12-08,Credit Card,Delivered,58.79
374,512,3,2024-06-10,Net Banking,Delivered,243.63
375,62,2,2025-10-02,Debit Card,Delivered,187.28
376,129,16,2024-04-19,Credit Card,Delivered,157.25
377,775,12,2025-10-22,Cash,Shipped,44.48
378,367,5,2025-01-21,Debit Card,Processing,141.91
379,573,10,2025-03-24,Net Banking,Delivered,79.85
380,557,12,2024-07-10,Debit Card,Shipped,97.82
381,937,18,2025-09-05,Credit Card,Delivered,72.56
382,840,9,2024-10-29,Net Banking,Delivered,40.15
383,519,13,2025-10-15,Credit Card,Processing,170.14
384,795,20,2025-01-07,Credit Card,Delivered,53.3
385,839,13,2025-07-05,Credit Card,Delivered,144.49
386,158,20,2025-07-18,Debit Card,Delivered,174.59
387,99,17,2024-04-23,UPI,Delivered,236.94
388,895,2,2024-07-01,Credit Card,Delivered,80.24
389,585,13,2024-02-02,Cash,Delivered,187.28
390,51,12,2024-09-19,Credit Card,Delivered,54.88
391,672,16,2024-08-01,UPI,Delivered,174.17
392,572,14,2025-01-04,Debit Card,Shipped,52.24
393,273,17,2025-09-23,UPI,Shipped,215.24
394,968,7,2024-03-20,Net Banking,Delivered,192.29
395,395,7,2025-06-28,Credit Card,Delivered,92.24
396,971,6,2025-10-02,Net Banking,Shipped,127.19
397,785,19,2024-04-18,Debit Card,Delivered,187.54
398,905,4,2025-03-13,Credit Card,Shipped,155.49
399,346,6,2025-05-31,Net Banking,Returned,133.03
400,925,11,2024-12-26,Net Banking,Returned,108.18
401,423,14,2025-01-15,Debit Card,Delivered,158.26
402,385,18,2024-08-07,Debit Card,Delivered,135.0
403,1,2,2025-02-10,Debit Card,Delivered,148.7
404,7,10,2024-11-05,Credit Card,Delivered,106.13
405,843,9,2025-12-07,Net Banking,Delivered,159.84
406,159,4,2025-08-08,UPI,Delivered,72.78
407,376,19,2024-09-28,Credit Card,Delivered,210.33
408,585,13,2024-04-04,Net Banking,Cancelled,194.2
409,812,16,2024-11-28,Credit Card,Delivered,228.8
410,591,4,2025-12-20,Net Banking,Delivered,47.85
411,391,3,2025-08-13,UPI,Cancelled,110.22
412,427,4,2025-03-20,Credit Card,Shipped,218.39
413,650,13,2024-01-12,UPI,Delivered,48.65
414,579,5,2025-07-06,Debit Card,Delivered,86.37
415,690,13,2024-02-21,Cash,Shipped,160.8
416,228,14,2024-04-02,Debit Card,Shipped,71.08
417,85,16,2024-12-10,Net Banking,Shipped,155.11
418,88,13,2024-09-25,Net Banking,Delivered,186.55
419,493,18,2024-05-18,Credit Card,Delivered,176.97
420,575,20,2024-07-19,Net Banking,Delivered,55.05
421,332,19,2025-03-16,UPI,Delivered,126.85
422,357,7,2025-01-09,Debit Card,Delivered,177.64
423,174,12,2024-11-08,Net Banking,Processing,208.59
424,150,15,2025-09-30,UPI,Cancelled,89.03
425,383,5,2025-12-02,UPI,Delivered,51.45
426,949,5,2025-09-27,Debit Card,Delivered,185.7
427,313,15,2024-04-23,Cash,Delivered,83.89
428,217,7,2025-07-04,Net Banking,Delivered,94.32
429,638,5,2025-05-09,UPI,Delivered,230.27
430,45,9,2025-06-23,Credit Card,Delivered,82.15
431,633,9,2025-12-14,UPI,Delivered,238.49
432,398,9,2024-03-09,Debit Card,Processing,44.01
433,396,8,2025-10-26,Cash,Delivered,189.03
434,497,20,2024-11-19,Net Banking,Delivered,81.76
435,575,1,2025-04-13,UPI,Delivered,151.18
436,502,13,2024-12-07,Credit Card,Delivered,183.71
437,641,10,2024-12-29,Credit Card,Returned,245.5
438,832,2,2024-10-09,Debit Card,Processing,226.98
439,967,18,2024-01-31,Debit Card,Delivered,111.78
440,673,5,2025-02-06,UPI,Shipped,149.35
441,628,8,2025-11-25,Cash,Delivered,72.08
442,932,20,2024-11-15,Debit Card,Delivered,67.67
443,142,19,2025-10-30,Net Banking,Delivered,82.49
444,317,17,2024-05-21,Credit Card,Delivered,230.89
445,672,19,2024-05-28,Credit Card,Delivered,157.04
446,189,11,2024-05-01,Credit Card,Shipped,200.74
447,985,14,2025-02-27,Debit Card,Delivered,236.09
448,956,9,2025-10-14,Credit Card,Shipped,62.42
449,27,20,2024-07-08,Net Banking,Delivered,159.08
450,611,8,2024-08-24,Credit Card,Delivered,115.44
451,799,16,2025-12-05,Credit Card,Delivered,166.99
452,666,12,2025-12-30,Credit Card,Processing,143.2
453,168,7,2024-05-20,Credit Card,Delivered,200.55
454,948,9,2024-01-16,Cash,Delivered,180.98
455,776,7,2024-07-26,UPI,Delivered,240.49
456,888,20,2025-03-25,Cash,Delivered,222.02
457,438,13,2024-09-09,UPI,Delivered,213.11
458,404,20,2024-11-16,Net Banking,Delivered,150.3
459,806,2,2025-12-22,Net Banking,Delivered,135.95
460,899,8,2024-02-13,Net Banking,Delivered,246.6
461,572,13,2024-02-10,Net Banking,Shipped,242.14
462,299,15,2024-07-13,Cash,Processing,202.47
463,473,6,2024-10-19,Cash,Delivered,233.0
464,530,5,2025-12-07,Cash,Processing,134.86
465,116,6,2025-05-27,Net Banking,Cancelled,186.18
466,403,14,2024-05-18,Debit Card,Delivered,77.56
467,919,7,2025-08-27,Cash,Delivered,108.06
468,929,6,2025-10-26,UPI,Delivered,188.31
469,372,3,2025-10-11,Net Banking,Shipped,192.64
470,627,6,2025-06-07,Cash,Delivered,49.22
471,935,11,2024-06-23,Net Banking,Processing,221.16
472,890,5,2024-06-15,Credit Card,Shipped,50.78
473,317,15,2024-11-11,Debit Card,Delivered,64.69
474,984,7,2024-05-14,UPI,Delivered,93.15
475,510,16,2025-04-14,Net Banking,Processing,167.68
476,244,7,2025-05-20,Net Banking,Delivered,135.29
477,82,20,2025-03-28,Net Banking,Delivered,225.26
478,635,18,2024-10-11,Credit Card,Delivered,71.13
479,358,2,2025-10-30,Credit Card,Processing,180.07
480,306,11,2025-09-09,UPI,Delivered,127.56
481,166,10,2024-07-01,Net Banking,Delivered,186.97
482,807,18,2025-08-09,Credit Card,Returned,197.36
483,954,2,2025-01-03,UPI,Shipped,107.79
484,840,3,2025-01-23,Cash,Processing,53.63
485,138,4,2025-04-27,Debit Card,Delivered,126.89
486,713,7,2024-08-02,Net Banking,Delivered,159.99
487,542,3,2025-10-06,Cash,Shipped,167.0
488,295,14,2025-12-24,Net Banking,Processing,94.53
489,639,12,2025-08-11,Credit Card,Delivered,144.24
490,510,16,2025-10-09,Credit Card,Processing,88.87
491,199,1,2024-10-24,UPI,Delivered,171.35
492,756,7,2024-04-30,Net Banking,Returned,126.95
493,359,18,2024-12-07,Credit Card,Delivered,82.25
494,261,3,2024-10-15,Debit Card,Delivered,155.5
495,117,11,2024-01-07,Debit Card,Delivered,159.47
496,853,6,2024-01-30,Credit Card,Delivered,110.97
497,491,16,2025-11-19,UPI,Delivered,141.11
498,472,18,2025-10-04,Debit Card,Delivered,210.97
499,856,17,2024-02-27,Debit Card,Delivered,182.42
500,549,1,2025-07-22,Credit Card,Delivered,109.66
501,68,5,2024-12-28,Debit Card,Processing,111.22
502,642,18,2025-01-19,Credit Card,Delivered,121.81
503,120,10,2025-09-01,Debit Card,Shipped,97.01
504,509,8,2024-03-29,Debit Card,Delivered,239.65
505,538,10,2024-08-09,Credit Card,Delivered,204.84
506,936,3,2024-07-25,Cash,Delivered,207.8
507,158,7,2025-05-27,Debit Card,Cancelled,193.81
508,318,11,2025-06-20,Credit Card,Shipped,60.63
509,693,5,2025-06-12,Credit Card,Shipped,136.47
510,886,17,2025-12-31,UPI,Delivered,235.79
511,869,20,2025-12-04,UPI,Delivered,226.73
512,534,10,2024-04-15,UPI,Delivered,105.55
